"""Plant"""STR;0PLANT|"""Material"""MAT;0MATERIAL|"""Calday"""CALDAY;0CALDAY|"""R001/B001 Stock"""STOCK;ZSTOCK
SM37|000000000001018823|20200217|3.050-
SM37|000000000001020973|20200217|2.000-
SM36|000000000001344343|20200217|1.000-
SM36|000000000001249608|20200217|125.000-
SM36|000000000001249640|20200217|17.000-
SM36|000000000001347215|20200217|31.000 
SM36|000000000001359558|20200217|3.000-
SM36|000000000001359562|20200217|6.000-
SM36|000000000001360165|20200217|18.000-
SM36|000000000001360194|20200217|13.000-
SM36|000000000001360202|20200217|33.000-
SM36|000000000001360206|20200217|130.000-
SM36|000000000001008704|20200217|49.586-
SM36|000000000001008727|20200217|7.216 
SM36|000000000001008762|20200217|1.474-
SM36|000000000001008828|20200217|4.122 
SM36|000000000001008902|20200217|5.220 
SM44|000000000001008716|20200217|7.270 
SM44|000000000001008722|20200217|0.724 
SM44|000000000001008890|20200217|25.902 
SM44|000000000001008898|20200217|63.996-
SM44|000000000001306843|20200217|3.000 
SM39|000000000001340915|20200217|38.000 
SM44|000000000001018342|20200217|1.476 
SM44|000000000001026048|20200217|9.734-
SM40|000000000001008728|20200217|3.122 
SM40|000000000001008748|20200217|3.556 
SM39|000000000001304248|20200217|0.150 
SM39|000000000001306420|20200217|2.000 
SM44|000000000001325251|20200217|2.000-
SM40|000000000001018245|20200217|0.592 
SM40|000000000001018688|20200217|15.000 
SM44|000000000001272833|20200217|5.000 
SM44|000000000001336493|20200217|27.000 
SM39|000000000001030533|20200217|0.240-
SM39|000000000001008713|20200217|16.900 
SM39|000000000001008815|20200217|1.178 
SM39|000000000001059049|20200217|26.902 
SM38|000000000001336492|20200217|21.000 
SM39|000000000001010863|20200217|1.000-
SM39|000000000001069475|20200217|8.704 
SM38|000000000001340916|20200217|16.000 
SM39|000000000001013386|20200217|2.200 
SM39|000000000001013615|20200217|1.160 
SM38|000000000001366019|20200217|8.000-
SM47|000000000001008704|20200217|48.594 
SM47|000000000001008763|20200217|76.704 
SM47|000000000001008815|20200217|3.772 
SM47|000000000001008866|20200217|29.000 
SM47|000000000001023128|20200217|5.000 
SM49|000000000001008899|20200217|3.722 
SM49|000000000001008717|20200217|10.004 
SM49|000000000001008747|20200217|3.422 
SM49|000000000001008791|20200217|0.900 
SM47|000000000001282462|20200217|11.000 
SM46|000000000001306037|20200217|4.000 
SM44|000000000001352808|20200217|7.000-
SM44|000000000001358049|20200217|1.000 
SM44|000000000001359560|20200217|1.000-
SM44|000000000001365095|20200217|34.000-
SM40|000000000001359554|20200217|1.000-
SM46|000000000001052014|20200217|6.000 
SM40|000000000001306426|20200217|15.000 
SM40|000000000001307027|20200217|5.000 
SM40|000000000001272822|20200217|24.514 
SM46|000000000001008741|20200217|8.904 
SM46|000000000001008788|20200217|1.645 
SM46|000000000001008822|20200217|8.043 
SM40|000000000001304359|20200217|7.288 
SM49|000000000001172641|20200217|12.758 
ST02|000000000001008753|20200217|67.196 
ST02|000000000001008769|20200217|0.790-
